OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,HISTO_0,HISTO_1,HISTO_2,HISTO_3,Water_1,Water_2,Water_3,LC_2,LC_4,LC_5,LC_8,LC_9,LC_10,LC_11,LC_12,LC_13,LC_14,LC_16,LC_17,NL_mean,NL_median,NDBI_mean,NDBI_median,NDVI_mean,NDVI_median,Water_SUM,Seasonal_Ratio,Permanent_Ratio,LC_SUM,LC_2_ratio,LC_4_ratio,LC_5_ratio,LC_8_ratio,LC_9_ratio,LC_10_ratio,LC_11_ratio,LC_12_ratio,LC_13_ratio,LC_14_ratio,LC_16_ratio,LC_17_ratio,Year,NDBI_median_t_minus_1,NDVI_median_t_minus_1,NDBI_mean_t_minus_1,NL_mean_t_minus_1,NL_median_t_minus_1,NDVI_mean_t_minus_1,Water_SUM_t_minus_1,Water_SUM_t_minus_2
1,10,BIHAR,1,PASHCHIM CHAMPARAN,2,Ramnagar (SC),1,VALMIKI NAGAR,1001,,2.24111390328,0.1056097062,1442878,5126,6146,0,4538,841,0,80,239,1515,80,291,40,0,2913,45,27,0,0,0.485619103918833,0.344229429960251,-0.085699224568542,-0.077601820230484,0.313066273805156,0.317760497331619,5379,0.1563487637107269,0.0,5230,0.0152963671128107,0.0456978967495219,0.2896749521988527,0.0152963671128107,0.0556405353728489,0.0076481835564053,0.0,0.5569789674952199,0.008604206500956,0.0051625239005736,0.0,0.0,2016,-0.0729625523090363,0.285720676183701,-0.0830166952295692,0.252733901332743,0.138886153697968,0.288598908576967,5358,1454150
1,10,BIHAR,1,PASHCHIM CHAMPARAN,1,Valmiki Nagar,1,VALMIKI NAGAR,1001,,3.16673833067,0.12206658737,1258027,268824,142953,10913,289376,100355,16060,8,117,891,97,698,301,5,3707,2,78,82,65,0.444191552898777,0.350726127624512,-0.086460459118169,-0.072409115731716,0.26413710798664,0.260659217834473,405791,0.2473071112962091,0.0395770236402483,6051,0.0013220955214014,0.0193356470004957,0.1472483886960832,0.0160304081969922,0.115352834242274,0.0497438439927284,0.0008263097008758,0.6126260122293836,0.0003305238803503,0.0128904313336638,0.0135514790943645,0.0107420261113865,2016,-0.0676446259021759,0.305259466171265,-0.0820027559903716,0.206062067748908,0.116511646658182,0.298972830798165,5358,1454150
1,10,BIHAR,1,PASHCHIM CHAMPARAN,9,Sikta,1,VALMIKI NAGAR,1001,,1.6438567624,0.04398509075,596429,2789,6409,0,7741,733,1,0,21,1,1,11,0,0,2115,0,34,0,0,0.700173788227836,0.596341371536255,-0.135636295748569,-0.138776287436485,0.372605593129545,0.37606081366539,8475,0.0864896755162241,0.0001179941002949,2183,0.0,0.0096197892808062,0.0004580852038479,0.0004580852038479,0.005038937242327,0.0,0.0,0.9688502061383416,0.0,0.0155748969308291,0.0,0.0,2016,-0.144755020737648,0.403024792671204,-0.140187717791531,0.363358285382465,0.274551570415497,0.398160250456743,5358,1454150
1,10,BIHAR,1,PASHCHIM CHAMPARAN,4,Bagaha,1,VALMIKI NAGAR,1001,,1.2410549029,0.04398449091,561618,15347,25802,2838,21238,16705,3438,0,0,0,0,87,30,17,2031,7,2,6,2,0.65207465425216,0.537994921207428,-0.048664139047703,-0.030578479170799,0.257499064144935,0.249865233898163,41381,0.4036876827529542,0.083081607501027,2182,0.0,0.0,0.0,0.0,0.0398716773602199,0.0137488542621448,0.0077910174152153,0.9307974335472043,0.0032080659945004,0.0009165902841429,0.0027497708524289,0.0009165902841429,2016,-0.0349520929157734,0.27976930141449,-0.0516347136665988,0.368714422327132,0.283549755811691,0.283031442528641,5358,1454150
1,10,BIHAR,1,PASHCHIM CHAMPARAN,3,Narkatiaganj,1,VALMIKI NAGAR,1001,,1.44585213609,0.0339216314,463285,2618,1165,0,2650,884,0,0,0,0,0,0,0,0,1642,37,4,0,0,0.857686989248011,0.695685744285583,-0.067329867522585,-0.057229001075029,0.309137009376678,0.305169835686684,3534,0.2501414827391058,0.0,1683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9756387403446228,0.0219845513963161,0.0023767082590612,0.0,0.0,2016,-0.0574119035154581,0.317524984478951,-0.0654438102580541,0.519262506028865,0.375851184129715,0.323097261336875,5358,1454150
1,10,BIHAR,1,PASHCHIM CHAMPARAN,5,Lauriya,1,VALMIKI NAGAR,1001,,1.28649991613,0.03265617396,422900,17647,9057,31,19087,5332,192,0,0,0,0,16,6,0,1547,5,49,0,1,0.865300942320892,0.793120145797729,-0.139300279497462,-0.128284513950348,0.347425613066727,0.344046890735626,24611,0.21665109097558,0.0078013896225265,1624,0.0,0.0,0.0,0.0,0.0098522167487684,0.0036945812807881,0.0,0.9525862068965516,0.0030788177339901,0.0301724137931034,0.0,0.000615763546798,2016,-0.151539877057076,0.377876162528992,-0.15911099520132,0.483016586077838,0.42032915353775,0.377514982171434,5358,1454150
2,10,BIHAR,2,PURBA CHAMPARAN,10,Raxaul,2,PASCHIM CHAMPARAN,1002,,1.30833172627,0.025599053,349982,984,1523,4,1039,1058,2,0,0,0,0,5,0,0,1239,18,1,0,0,0.903794541071526,0.590421795845032,-0.210082526703679,-0.223849236965179,0.416209871738622,0.429791957139969,2099,0.5040495474035255,0.0009528346831824,1263,0.0,0.0,0.0,0.0,0.0039588281868566,0.0,0.0,0.980997624703088,0.014251781472684,0.0007917656373713,0.0,0.0,2016,-0.207972347736359,0.458930224180222,-0.198792648460479,0.532289748341434,0.245091572403908,0.442687955276389,2136,352493
2,10,BIHAR,1,PASHCHIM CHAMPARAN,7,Chanpatia,2,PASCHIM CHAMPARAN,1002,,1.2942384841,0.03541506132,468022,5623,13960,2,10152,5149,0,0,0,0,0,36,0,0,1503,6,206,0,0,0.837298689153685,0.745014190673828,-0.167447099607173,-0.160639211535454,0.370636174309624,0.369676619768143,15301,0.3365139533363832,0.0,1751,0.0,0.0,0.0,0.0,0.0205596801827527,0.0,0.0,0.8583666476299258,0.0034266133637921,0.1176470588235294,0.0,0.0,2016,-0.179985076189041,0.407680600881577,-0.183144747810181,0.505398129993484,0.419317081570625,0.40380433168396,2136,352493
2,10,BIHAR,2,PURBA CHAMPARAN,11,Sugauli,2,PASCHIM CHAMPARAN,1002,,1.09140266333,0.03084169076,374544,20181,29899,56,39392,5397,9,0,0,0,0,20,0,0,1449,22,44,0,0,0.726924222637579,0.604592204093933,-0.226779689981861,-0.23981424421072,0.414740457564515,0.427675381302834,44798,0.1204741283092995,0.0002009018259743,1535,0.0,0.0,0.0,0.0,0.013029315960912,0.0,0.0,0.9439739413680782,0.0143322475570032,0.0286644951140065,0.0,0.0,2016,-0.241135969758034,0.455824658274651,-0.230114122886739,0.383341420551505,0.237798914313316,0.438585293459542,2136,352493
2,10,BIHAR,2,PURBA CHAMPARAN,12,Narkatia,2,PASCHIM CHAMPARAN,1002,,1.93588626705,0.0326598806,369146,10831,69684,9,66788,7192,4,0,0,0,0,6,0,0,1594,17,4,0,0,0.632708986434672,0.465238302946091,-0.224393916882854,-0.23994966596365,0.417488125353237,0.429171860218048,73984,0.0972102076124567,5.406574394463668e-05,1621,0.0,0.0,0.0,0.0,0.0037014188772362,0.0,0.0,0.9833436150524368,0.0104873534855027,0.0024676125848241,0.0,0.0,2016,-0.256324335932732,0.46068811416626,-0.237254801786158,0.36102266319694,0.187775753438473,0.443455606900807,2136,352493
